證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外資買賣超,外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超,自營商買賣超,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),法人合計買賣超
037580,晶豪科元大54購05,0,0,0.0,0,0,0,0,0,0.0,538.0,0,0,0,686000,148000,538000,538.0
053565,宏達電元大4A購01,0,0,0.0,0,0,0,0,0,0.0,536.0,0,0,0,536000,0,536000,536.0
030422,台光電永豐53購04,0,0,0.0,0,0,0,0,0,0.0,536.0,0,0,0,566000,30000,536000,536.0
00895,富邦未來車,24037,10000,14.037,0,0,0,0,0,0.0,520.825,2000,0,2000,795825,277000,518825,534.862
037674,金寶富邦53購01,0,0,0.0,0,0,0,0,0,0.0,532.0,0,0,0,532000,0,532000,532.0
086214,創意統一57購02,0,0,0.0,0,0,0,0,0,0.0,530.0,0,0,0,602000,72000,530000,530.0
2501,國建,1182000,691000,491.0,0,0,0,24000,0,24.0,11.0,11000,0,11000,0,0,0,526.0
086176,得力群益52購01,0,0,0.0,0,0,0,0,0,0.0,520.0,0,0,0,520000,0,520000,520.0
035393,華新元大58購02,0,0,0.0,0,0,0,0,0,0.0,520.0,0,0,0,520000,0,520000,520.0
038177,華泰國票54購02,0,0,0.0,0,0,0,0,0,0.0,519.0,0,0,0,556000,37000,519000,519.0
03252U,台積電元大4B售34,0,0,0.0,0,0,0,0,0,0.0,519.0,0,0,0,519000,0,519000,519.0
088431,聯鈞中信52購01,0,0,0.0,0,0,0,0,0,0.0,518.0,0,0,0,601000,83000,518000,518.0
06038U,華邦電永豐53售02,0,0,0.0,0,0,0,0,0,0.0,518.0,0,0,0,518000,0,518000,518.0
033172,景碩元大54購06,0,0,0.0,0,0,0,0,0,0.0,514.0,0,0,0,518000,4000,514000,514.0
081906,聯鈞元大4B購03,0,10000,-10.0,0,0,0,0,0,0.0,524.0,0,0,0,564000,40000,524000,514.0
00850,元大臺灣ESG永續,47000,10000,37.0,0,0,0,0,0,0.0,476.332,0,0,0,521332,45000,476332,513.332
036662,台達電凱基59購02,0,0,0.0,0,0,0,0,0,0.0,512.0,0,0,0,523000,11000,512000,512.0
032295,創意元大54購02,0,0,0.0,0,0,0,0,0,0.0,512.0,0,0,0,514000,2000,512000,512.0
038698,富世達元大54購25,0,0,0.0,0,0,0,0,0,0.0,511.0,0,0,0,711000,200000,511000,511.0
035228,廣宇富邦55購01,0,0,0.0,0,0,0,0,0,0.0,511.0,0,0,0,516000,5000,511000,511.0
2312,金寶,2476000,1808000,668.0,0,0,0,0,0,0.0,-157.318,24000,36000,-12000,12839,158157,-145318,510.682
036126,定穎控富邦53購02,0,0,0.0,0,0,0,0,0,0.0,510.0,0,0,0,510000,0,510000,510.0
032321,臻鼎永豐52購03,0,0,0.0,0,0,0,0,0,0.0,509.0,0,0,0,609000,100000,509000,509.0
089239,T50反1元大54購03,0,0,0.0,0,0,0,0,0,0.0,509.0,0,0,0,552000,43000,509000,509.0
064826,愛普元大4B購02,0,0,0.0,0,0,0,0,0,0.0,509.0,0,0,0,509000,0,509000,509.0
032668,聯鈞群益52購03,0,0,0.0,0,0,0,0,0,0.0,508.0,0,0,0,916000,408000,508000,508.0
